[2022-08-12T08:37:23.210] [WARN] todos - ruta / método GET no implementada
[2022-08-12T08:44:51.727] [WARN] warnOnly - ruta /as método GET no implementada
[2022-08-12T08:51:14.916] [WARN] warnOnly - ruta /info método GET no implementada
[2022-08-12T17:05:27.223] [WARN] warnOnly - ruta / método GET no implementada
[2022-08-12T17:05:38.422] [WARN] warnOnly - ruta /favicon.ico método GET no implementada
[2022-08-13T11:12:58.002] [WARN] warnOnly - ruta / método GET no implementada
[2022-08-13T11:15:40.392] [WARN] warnOnly - ruta /favicon.ico método GET no implementada
[2022-08-13T11:26:00.936] [WARN] warnOnly - ruta /main.js método GET no implementada
[2022-08-13T11:26:00.942] [WARN] warnOnly - ruta /ejs.js método GET no implementada
[2022-08-13T11:26:01.757] [WARN] warnOnly - ruta /ejs.js método GET no implementada
[2022-08-13T11:28:51.173] [WARN] warnOnly - ruta /favicon.ico método GET no implementada
[2022-08-14T13:57:24.465] [WARN] warnOnly - ruta /favicon.ico método GET no implementada
[2022-08-14T13:57:33.394] [WARN] warnOnly - ruta /favicon.ico método GET no implementada
[2022-09-26T12:27:50.001] [WARN] warnOnly - ruta /api/productos método GET no implementada
[2022-09-26T12:28:20.056] [WARN] warnOnly - ruta /api/none método GET no implementada
[2022-09-26T12:33:57.443] [WARN] warnOnly - ruta /api/none método GET no implementada
[2022-09-26T12:34:03.187] [WARN] warnOnly - ruta /api/none método GET no implementada
[2022-09-26T12:34:38.987] [WARN] warnOnly - ruta /api/none método GET no implementada
[2022-09-26T12:37:48.547] [WARN] warnOnly - ruta /api/none método GET no implementada
[2022-09-26T12:38:56.909] [WARN] warnOnly - ruta /api/none método GET no implementada
[2022-09-26T12:46:42.194] [WARN] warnOnly - ruta /api/none método GET no implementada
[2022-09-26T15:27:35.955] [WARN] warnOnly - ruta /favicon.ico método GET no implementada
[2022-09-26T15:27:36.503] [WARN] warnOnly - ruta /api/none método GET no implementada
[2022-09-26T15:57:44.958] [WARN] warnOnly - ruta /favicon.ico método GET no implementada
[2022-09-26T15:57:45.082] [WARN] warnOnly - ruta /api/none método GET no implementada
[2022-09-26T16:16:47.050] [WARN] warnOnly - ruta /favicon.ico método GET no implementada
[2022-09-26T16:16:47.456] [WARN] warnOnly - ruta /api/none método GET no implementada
[2022-09-26T16:17:56.980] [WARN] warnOnly - ruta /api/none método GET no implementada
[2022-09-26T16:38:26.940] [WARN] warnOnly - ruta /api/none método GET no implementada
[2022-09-26T16:51:36.481] [WARN] warnOnly - ruta /api/none método GET no implementada
[2022-10-10T11:34:55.074] [WARN] warnOnly - ruta / método GET no implementada
[2022-10-10T11:34:55.271] [WARN] warnOnly - ruta /favicon.ico método GET no implementada
[2022-10-10T11:35:53.250] [WARN] warnOnly - ruta /productos método GET no implementada
[2022-10-10T11:36:16.372] [WARN] warnOnly - ruta /api/none método GET no implementada
[2022-10-10T11:54:12.817] [WARN] warnOnly - ruta /api/ionfo método GET no implementada
